id,clause,new-agent,protagonist,location,temporal,goal,causal:no_cause
181,My first name's April.,0,0,0,0,0,0
182,<GUY> Well that's a pretty name.,0,0,0,0,0,0
183,<MISS HORN> You see I do have your welfare at heart.,0,0,0,0,0,0
184,That's why when I see you smoking Kelvins and I know Marlins are so much better.,0,0,0,0,0,0
185,"Won't you let me buy some of them for you, huh?",0,0,0,0,1,0
186,<GUY> Well I suppose so.,0,0,0,0,0,0
187,Why not.,0,0,0,0,0,0
188,"Yeah, bring me a carton.",0,0,0,0,0,0
189,"<MISS HORN> Oh, thank you, Mr. Burckhardt.",0,0,0,0,0,0
190,Guy.,0,0,0,0,0,0
191,"<GUY> I, uh, I think you ought to go.",0,0,0,0,1,0
192,<MISS HORN> I'll be back.,0,0,0,0,1,0
193,"<NARRATOR> There was something wrong, something definitely peculiar about what was happening: the call from Henry Swanson, the strange behavior of his secretary, Miss Horne, these new products, the dream.",0,0,0,1,0,0
194,Guy Burckhardt went home that night feeling like a man in a nightmare.,0,0,1,0,0,0
195,"<MARY> That you, dear?",0,1,0,1,0,0
196,<GUY> It's me.,0,0,0,0,0,0
197,<MARY> You have a good day?,0,0,0,0,0,0
198,<GUY> Fair.,0,0,0,0,0,0
199,"<MARY> Oh, before you sit down, will you go down to the cellar and put in a new fuse?",0,0,0,0,1,1
200,The switch in the hall closet blew out.,0,0,0,0,0,0
201,"I, I shut it off.",0,0,0,0,0,0
202,<GUY> Okay.,0,0,0,0,0,0
203,"<MARY> Supper will be ready in a minute, so don't start fooling around with that old boat hull you've been building.",0,0,0,0,1,0
204,<GUY> I won't.,0,0,0,0,0,0
205,"Mary, Mary.",0,0,1,1,0,1
206,<MARY> What is it?,0,0,0,0,0,0
207,"<GUY> Come down here, hurry up.",0,0,0,0,1,0
208,<MARY> What is it?,0,0,0,0,0,0
209,<GUY> I don't know.,0,0,0,0,0,0
210,I'm not sure.,0,0,0,0,0,0
211,"I was looking for a fuse and I thought maybe I'd dropped one under the boathouse, so I scratched around.",0,0,0,0,0,0
212,"Look, let me put the flashlight on it.",0,0,0,0,0,0
213,<MARY> Where?,0,0,0,0,0,0
214,<GUY> Look at the floor.,0,0,0,0,0,0
215,<MARY> What about the floor?,0,0,0,0,0,0
216,<GUY> It's supposed to be cement.,0,0,0,0,0,0
217,<MARY> Well?,0,0,0,0,0,0
218,<GUY> Well it's copper.,0,0,0,0,0,0
219,"There's a thin layer of cement, but underneath, its metal.",0,0,0,0,0,0
220,Look here.,0,0,0,0,0,0
221,"Underneath the concrete, more metal.",0,0,0,0,0,0
222,"And here, on the wall.",0,0,0,0,0,0
223,You see?,0,0,0,0,0,0
224,Metal.,0,0,0,0,0,0
225,"Metal under the floor, behind the walls, every place.",0,0,0,0,0,0
